(1124, 694)
(23, 1009)
(1701, 1278)
(2242, 239)
(932, 1307)
(2346, 1063)
(271, 1564)
(283, 566)
(1871, 114)
(1276, 1221)
(1035, 1001)
(248, 1116)
(1819, 1353)
(1545, 321)
(1314, 802)
(519, 817)
(574, 951)
(1313, 406)
(1082, 1268)
(1675, 1426)
(802, 1066)
(1230, 1508)
(1265, 642)
(1852, 221)
(1847, 926)
(458, 1494)
(314, 259)
(965, 1139)
(252, 970)
(775, 388)
(1427, 665)
(1558, 1357)
(105, 215)
(68, 141)
(1038, 533)
(1028, 16)
(1044, 1038)
(819, 597)
(883, 994)
(2183, 1339)
(2163, 1133)
(1559, 334)
(997, 1440)
(963, 769)
(2362, 1299)
(2290, 241)
(1859, 1362)
(1967, 257)
(1859, 629)
(2297, 71)
(378, 17)
(2191, 679)
(1400, 1163)
(48, 577)
(489, 845)
(348, 359)
(1869, 1547)
(2136, 142)
(1918, 56)
(162, 1157)
(521, 1032)
(193, 744)
(643, 1057)
(1559, 1293)
(2130, 509)
(1390, 825)
(521, 469)
(1587, 880)
(317, 702)
(2057, 205)
(1489, 1503)
(1166, 1398)
(834, 974)
(452, 886)
(1522, 793)
(1782, 176)
(2031, 885)
(20, 1054)
(1950, 578)
(2024, 703)
(1985, 456)
(2329, 666)
(181, 26)
(1284, 569)
(1769, 823)
(1892, 728)
(1823, 1114)
(567, 65)
(2211, 265)
(1993, 1475)
(2145, 596)
(1307, 503)
(1797, 741)
(734, 1568)
(2014, 544)
(2103, 793)
(810, 1501)
(144, 761)
(2136, 1503)
(2132, 1420)
(2229, 56)
(1184, 1066)
(1763, 464)
(397, 644)
(40, 872)
(987, 540)
(848, 441)
(1157, 364)
(338, 1114)
(1695, 1114)
(220, 600)
(191, 531)
(1285, 1313)
(366, 1287)
(2194, 1264)
(707, 870)
(1316, 50)
(1380, 971)
(451, 119)
(1736, 356)
(1273, 473)
(1739, 828)
(2221, 269)
(863, 407)
(1799, 1008)
(1103, 474)
(1519, 1219)
(2181, 1490)
(1566, 1391)
(2201, 1446)
(1082, 1429)
(974, 1462)
(482, 91)
(797, 1324)
(1024, 1037)
(654, 177)
(1902, 662)
(1274, 666)
(1519, 487)
(331, 353)
(143, 1099)
(1719, 1224)
(1080, 122)
(1819, 1181)
(1173, 370)
(875, 585)
(405, 802)
(405, 1581)
(2007, 1148)
(2175, 864)
(155, 1306)
(54, 1051)
(1333, 959)
(181, 79)
(501, 790)
(1720, 423)
(2090, 1096)
(461, 1047)
(1294, 722)
(1069, 1397)
(1567, 299)
(961, 815)
(1699, 852)
(2061, 663)
(855, 1363)
(1220, 880)
(297, 766)
(2312, 805)
(1007, 762)
(59, 668)
